Muestra_N,Algoritmo,Instancia,Tiempo_ms,Costo_Final
1,SA,I10000,3031,145938.0
2,SA,I10000,2367,145938.0
3,SA,I10000,2199,145938.0
4,SA,I10000,1777,145938.0
5,SA,I10000,2124,145938.0
6,SA,I10000,1911,145938.0
7,SA,I10000,1920,145938.0
8,SA,I10000,1980,145938.0
9,SA,I10000,1875,145938.0
10,SA,I10000,1976,145938.0
11,SA,I10000,2020,145938.0
12,SA,I10000,1768,145938.0
13,SA,I10000,2041,145938.0
14,SA,I10000,1941,145938.0
15,SA,I10000,1915,145938.0
16,SA,I10000,2010,145938.0
17,SA,I10000,1849,145938.0
18,SA,I10000,1945,145938.0
19,SA,I10000,2102,145938.0
20,SA,I10000,1778,145938.0
21,SA,I10000,1847,145938.0
22,SA,I10000,2105,145938.0
23,SA,I10000,1987,145938.0
24,SA,I10000,1908,145938.0
25,SA,I10000,1801,145938.0
26,SA,I10000,1727,145938.0
27,SA,I10000,1764,145938.0
28,SA,I10000,1770,145938.0
29,SA,I10000,1762,145938.0
30,SA,I10000,1781,145938.0
1,ALNS,I10000,142946,145938.0
2,ALNS,I10000,149604,145938.0
3,ALNS,I10000,146228,145938.0
4,ALNS,I10000,144915,145938.0
5,ALNS,I10000,140103,145938.0
6,ALNS,I10000,146940,145938.0
7,ALNS,I10000,145608,145938.0
8,ALNS,I10000,145793,145938.0
9,ALNS,I10000,145162,145938.0
10,ALNS,I10000,142175,145938.0
11,ALNS,I10000,135677,145938.0
12,ALNS,I10000,141052,145938.0
13,ALNS,I10000,144925,145938.0
14,ALNS,I10000,148608,145938.0
15,ALNS,I10000,146191,145938.0
16,ALNS,I10000,149173,145938.0
17,ALNS,I10000,154477,145938.0
18,ALNS,I10000,150095,145938.0
19,ALNS,I10000,150906,145938.0
20,ALNS,I10000,153427,145938.0
21,ALNS,I10000,150381,145938.0
22,ALNS,I10000,145284,145938.0
23,ALNS,I10000,134884,145938.0
24,ALNS,I10000,149360,145938.0
25,ALNS,I10000,142188,145938.0
26,ALNS,I10000,138223,145938.0
27,ALNS,I10000,136650,145938.0
28,ALNS,I10000,137165,145938.0
29,ALNS,I10000,137344,145938.0
30,ALNS,I10000,138604,145938.0
